time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-09-23T19:29:25.370Z,19.4104996,-155.4188385,5.95,3.05,ml,59,27,0.05268,0.24,hv,hv61421661,2016-09-23T19:35:10.600Z,"19km W of Volcano, Hawaii",earthquake,0.27,0.85,0.37,37,automatic,hv,hv
2016-09-23T19:23:23.000Z,60.2155,-152.5737,103.1,2,ml,,,,0.74,ak,ak14022105,2016-09-23T19:34:23.990Z,"31km SSE of Redoubt Volcano, Alaska",earthquake,0.8,1,,,automatic,ak,ak
2016-09-23T19:04:11.160Z,46.0168333,-112.4853333,-2,2.11,ml,7,159,0.196,0.16,mb,mb80174469,2016-09-23T19:28:27.660Z,"4km ENE of Butte, Montana",quarry blast,0.92,31.61,0.199,11,reviewed,mb,mb
2016-09-23T19:04:06.000Z,60.3534,-140.6472,0,1.8,ml,,,,0.83,ak,ak14021665,2016-09-23T19:27:07.750Z,"103km NNW of Yakutat, Alaska",earthquake,0.3,56.4,,,automatic,ak,ak
2016-09-23T18:39:38.520Z,19.3624992,-155.3670044,4.82,1.72,md,9,335,0.08399,0.26,hv,hv61421606,2016-09-23T18:42:45.350Z,"15km WSW of Volcano, Hawaii",earthquake,2.9,23.94,0.25,7,automatic,hv,hv
2016-09-23T18:20:42.000Z,65.26,-148.9592,0,1.5,ml,,,,0.7,ak,ak14021663,2016-09-23T18:34:54.172Z,"64km NW of Ester, Alaska",earthquake,0.3,0.4,,,automatic,ak,ak
2016-09-23T18:04:23.000Z,60.3675,-140.7171,0,1.6,ml,,,,0.99,ak,ak14021660,2016-09-23T18:20:06.611Z,"100km ENE of Cape Yakataga, Alaska",earthquake,0.3,46.7,,,automatic,ak,ak
2016-09-23T18:00:23.180Z,33.8531667,-117.4965,-0.55,1.4,ml,45,74,0.05574,0.21,ci,ci37698088,2016-09-23T18:22:03.494Z,"4km SE of Home Gardens, CA",quarry blast,0.35,31.61,0.129,26,reviewed,ci,ci
2016-09-23T17:31:20.370Z,44.8106667,-122.9523333,-0.4,1.25,ml,5,130,0.3171,0.27,uw,uw61212521,2016-09-23T17:46:59.880Z,"3km S of Turner, Oregon",explosion,0.7,31.61,0.281,3,reviewed,uw,uw
2016-09-23T17:26:12.470Z,36.5639992,-121.1553345,2.69,2.19,md,27,79,0.03002,0.08,nc,nc72701336,2016-09-23T17:31:02.167Z,"21km NE of Soledad, California",earthquake,0.21,0.48,0.14,22,automatic,nc,nc
